#{"t_start": 1670722893.565651, "env_id": null}
r,l,t
-724.991327,255,1495.77492
-701.487051,256,1496.760154
-753.40333,270,1497.757529
-728.027093,263,1498.727787
-657.168466,262,1499.780813
-748.659244,271,1500.858693
-796.088673,268,1501.817931
-920.940858,271,1502.815968
-780.149937,279,1503.802529
-1239.086291,292,1504.871763
-850.510728,265,1505.807051
-925.995935,277,1506.79994
-721.944239,261,1507.793427
-1454.864046,294,1508.831753
-1613.431201,271,1509.847268
-1679.639993,302,1510.975022
-1519.530559,272,1511.976106
-1713.328661,273,1512.954199
-1633.013422,277,1513.947065
-791.426091,262,1514.910509
-1878.425521,282,1515.96313
-1202.545856,282,1517.019398
-610.08589,245,1517.92164
-1396.745315,278,1519.019584
-734.140047,256,1519.940835
-1120.626889,265,1520.832392
-2164.038203,298,1521.991608
-2301.273192,297,1523.248059
-2543.450663,293,1524.484889
-850.335659,231,1525.382024
-1966.894336,288,1526.506276
-2060.902418,284,1527.697538
-902.601095,275,1528.809234
-981.61596,244,1529.778346
-1197.17436,231,1530.713177
-1964.3224,283,1531.801418
-647.411299,240,1532.741598
-3350.489132,323,1533.913186
-2910.908667,319,1535.080012
-2591.230124,307,1536.214672
-3131.007101,310,1537.32255
-2345.390145,287,1538.375314
-2700.171451,299,1539.485667
-2733.056342,305,1540.647249
-2941.120865,306,1541.773573
-2473.727671,299,1542.94867
-3473.105572,318,1544.137672
-3607.194735,336,1545.474062
-3128.211977,310,1546.711354
-2107.309479,276,1547.843249
-2928.388322,330,1549.093242
-3002.381818,318,1550.387956
-4239.555203,344,1551.731812
-2429.383099,292,1552.878031
-3353.682558,336,1554.28025
-2893.612537,320,1555.546097
-2173.544546,269,1556.670583
-2695.624613,314,1557.936096
-3444.948889,342,1559.283916
-1883.307461,250,1560.363181
-1841.323175,251,1561.451377
-3198.588379,300,1562.712432
-2186.071851,279,1563.791812
-3957.565581,349,1565.105004
-2269.535753,341,1566.554525
-3757.452778,425,1568.245878
-2643.44914,339,1569.628888
-3959.137062,341,1570.905065
-3035.973723,321,1572.165021
-2141.814608,284,1573.287641
-2977.948775,301,1574.486724
-5640.809032,417,1576.152587
-1122.634774,284,1577.269176
-1901.723956,288,1578.374416
-1747.095255,281,1579.439073
-2446.962233,285,1580.533322
-2730.591391,350,1581.867517
-1231.301876,324,1583.107301
-27802.807231,1202,1587.676016
-1438.211365,284,1588.755996
-1748.40738,292,1589.89482
-4031.524173,348,1591.240601
-3213.029861,311,1592.429124
-3057.412639,385,1594.021527
-3860.950811,340,1595.418419
-2839.347199,378,1596.885996
-27691.448573,1202,1601.701494
-27802.626539,1202,1606.5296
-24223.366682,1202,1611.272708
-1520.78442,316,1612.565551
-2962.854731,367,1613.982916
-11398.938887,686,1616.709323
-7410.736633,536,1618.905854
-3883.125692,401,1620.491595
-1807.067261,372,1621.942185
-2784.148358,370,1623.409316
-3135.385251,451,1625.303468
-3923.90375,399,1627.05932
-4382.345384,442,1628.814512
-10381.491189,657,1631.405704
-2878.038506,441,1633.164937
-25609.926213,1202,1637.635244
-27573.368619,1202,1642.199481
-27798.679326,1202,1647.04384
-27802.807231,1202,1651.730587
-27785.244913,1202,1655.966364
-27802.807231,1202,1660.234416
-27802.807231,1202,1664.4464
-27809.737257,1202,1668.407924
-27781.983006,1202,1672.371667
-27815.072595,1202,1676.802253
-27815.072595,1202,1681.316315
-27815.072595,1202,1685.923325
-27815.072595,1202,1690.011895
-19797.191967,905,1693.169767
-27744.001828,1202,1697.75539
-27804.427012,1202,1702.28481
-27788.301973,1202,1706.669813
-27802.807231,1202,1710.977806
-27793.343676,1202,1715.345978
-27757.774289,1202,1719.667126
-27832.327003,1202,1724.081541
-27803.4246,1202,1728.502943
-27853.558356,1202,1733.047305
-27818.628217,1202,1737.429038
-27810.163583,1202,1742.003862
-27801.863271,1202,1746.430725
-27806.560985,1202,1894.13627
-27806.560985,1202,1896.03977
-27806.560985,1202,1897.893312
-27806.560985,1202,1899.789623
-27806.560985,1202,1901.599697
-27806.560985,1202,1903.446041
-27806.560985,1202,1905.29194
-27806.560985,1202,1907.203474
-27806.560985,1202,1909.112357
-27806.560985,1202,1910.911277
-27806.560985,1202,1912.896128
-27806.560985,1202,1914.920177
-27806.560985,1202,1916.859454
-27806.560985,1202,1918.57828
-27806.560985,1202,1920.20213
-27806.560985,1202,1922.034233
-27806.560985,1202,1923.853878
-27806.560985,1202,1925.546191
-27806.560985,1202,1927.213408
-27806.560985,1202,1928.932679
-27806.560985,1202,1930.592479
-27806.560985,1202,1932.24732
-27806.560985,1202,1933.918494
-27806.560985,1202,1935.716761
-27806.560985,1202,1937.4533
-27806.560985,1202,1939.19724
-27806.560985,1202,1940.98349
-27806.560985,1202,1942.785093
-27806.560985,1202,1944.495175
-27806.560985,1202,1946.261667
-27806.560985,1202,1948.139257
-27806.560985,1202,1950.053753
-27806.560985,1202,1951.876812
-27806.560985,1202,1953.704482
-27806.560985,1202,1955.480552
-27806.560985,1202,1957.281466
-27806.560985,1202,1959.156154
-27806.560985,1202,1961.180006
-27806.560985,1202,1963.098061
-27806.560985,1202,1964.952863
-27806.560985,1202,1966.795102
-27806.560985,1202,1968.655182
-27806.560985,1202,1970.173684
-27806.560985,1202,1971.933486
-27806.560985,1202,1973.598537
-27806.560985,1202,1975.195802
-27806.560985,1202,1977.085535
-27806.560985,1202,1978.576385
-27806.560985,1202,1980.228403
-27806.560985,1202,1981.752542
-27806.560985,1202,1983.439735
-27806.560985,1202,1985.329523
-27806.560985,1202,1987.129742
-27806.560985,1202,1988.998418
-27806.560985,1202,1990.7153
-27806.560985,1202,1992.34873
-27806.560985,1202,1993.964857
-27806.560985,1202,1995.573454
-27806.560985,1202,1997.220976
-27806.560985,1202,1998.94785
-27806.560985,1202,2000.761538
-27806.560985,1202,2002.48579
-27806.560985,1202,2004.308175
-27806.560985,1202,2005.972146
-27806.560985,1202,2007.781794
-27806.560985,1202,2009.578259
-27806.560985,1202,2011.411157
-27806.560985,1202,2013.264712
-27806.560985,1202,2015.230682
-27806.560985,1202,2016.939728
-27806.560985,1202,2018.698234
-27806.560985,1202,2020.52003
-27806.560985,1202,2022.271181
-27806.560985,1202,2023.978266
-27806.560985,1202,2025.671183
-27806.560985,1202,2027.427189
-27806.560985,1202,2029.138585
-27806.560985,1202,2030.875184
-27806.560985,1202,2032.685656
-27806.560985,1202,2034.287636
-27806.560985,1202,2036.020549
-27806.560985,1202,2037.686841
-27806.560985,1202,2039.359411
-27806.560985,1202,2041.095918
-27806.560985,1202,2042.854587
-27806.560985,1202,2044.551927
-27806.560985,1202,2046.318537
-27806.560985,1202,2048.058239
-27806.560985,1202,2049.778025
-27806.560985,1202,2051.51711
-27806.560985,1202,2053.212187
-27806.560985,1202,2054.870761
-27806.560985,1202,2056.817964
-27806.560985,1202,2058.631776
-27806.560985,1202,2060.35693
-27806.560985,1202,2062.11988
-27806.560985,1202,2063.940987
-27806.560985,1202,2065.699781
-27806.560985,1202,2067.322308
-27806.560985,1202,2068.845128
-27806.560985,1202,2070.426697
-27806.560985,1202,2071.979998
-27806.560985,1202,2073.49891
-27806.560985,1202,2075.226311
-27806.560985,1202,2076.93641
-27806.560985,1202,2078.656996
-27806.560985,1202,2080.227924
-27806.560985,1202,2081.682346
-27806.560985,1202,2083.198692
-27806.560985,1202,2084.67779
